html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,relationships.type.parent,relationships.type.child,relationships.type.related,relationships.type.successor,relationships.type.predecessor
,,"Center for Computational and Integrative Biology, Massachusetts General Hospital*en",active,facility;funder,Center for Computational and Integrative Biology*en;Massachusetts General Hospital Center for Computational and Integrative Biology*en,"Center for Computational and Integrative Biology, Massachusetts General Hospital*en",CCIB,https://ccib.mgh.harvard.edu,,ccib.mgh.harvard.edu,2003,100031459,100031459,,,,,,,Boston,United States,4930956,https://ror.org/002pd6e78,,,,
,,Hain Lifescience GmbH (Germany),active,company;funder,Hain Lifescience*en,Hain Lifescience GmbH (Germany),,https://www.hain-lifescience.de,,hain-lifescience.de,1986,501100008830,501100008830,,,,,,,Nehren,Germany,6555943,https://ror.org/04r739x86,,,,
,,"NS Pharma, Inc. (United States)",active,company;funder,NS Pharma*en,"NS Pharma, Inc. (United States)",NSP,https://www.nspharma.com,,nspharma.com,1999,100031036,100031036,,,,,,,Paramus,United States,5102387,https://ror.org/05wyn3p10,,,,
,,Jiangxi Province Human Resources and Social Security Department*en,active,government;funder,Department of Human Resources and Social Security of Jiangxi Province*en,Jiangxi Province Human Resources and Social Security Department*en;江西省人力资源和社会保障厅*zh,,http://rst.jiangxi.gov.cn,,rst.jiangxi.gov.cn,2009,100016082,100016082,,,,,,,Nanchang,China,1800160,,,,,
,,Ronald G. Michels Fellowship Foundation*en,active,nonprofit;funder,Michels Fellowship Foundation*en,Ronald G. Michels Fellowship Foundation*en,RGM Foundation,https://michelsfoundation.org,,michelsfoundation.org,1991,100027302,100027302,,,,,,,Riderwood,United States,,,,,,
,,African Studies Association of the United Kingdom*en,active,nonprofit;funder,African Studies Association of the UK*en;African Studies Association of UK*en;ASA UK*en,African Studies Association of the United Kingdom*en,ASAUK,https://asauk.net,https://en.wikipedia.org/wiki/African_Studies_Association_of_the_United_Kingdom,asauk.net,1963,100014671,100014671,,,,,,,London,United Kingdom,2643743,,,,,
,,Community Foundation for the Ohio Valley*en,active,nonprofit;funder,"Community Foundation for the Ohio Valley, Inc.*en",Community Foundation for the Ohio Valley*en,CFOV,https://cfov.org,,cfov.org,1972,100021766,100021766,,,,,,,Wheeling,United States,5280854,,,,,
,,Mayer and Morris Kaplan Family Foundation*en,active,nonprofit;funder,Mayer & Morris Kaplan Family Foundation*en;The Mayer & Morris Kaplan Family Foundation*en;The Mayer and Morris Kaplan Family Foundation*en,Mayer and Morris Kaplan Family Foundation*en,,https://www.kapfam.com,,kapfam.com,1958,100018832,100018832,,,,,,,Chicago,United States,4887398,,,,,
,,Australian Resuscitation Council*en,active,nonprofit;funder,The Australian Resuscitation Council*en;AUSTRALIAN RESUSCITATION COUNCIL INC*en,Australian Resuscitation Council*en,ARC,https://resus.org.au,,resus.org.au,1976,501100020831,501100020831,,,,,,,Melbourne,Australia,2158177,,,,,
,,Ohio Office of Criminal Justice Services*en,active,government;funder,,Ohio Office of Criminal Justice Services*en,OCJS,https://ocjs.ohio.gov,,ocjs.ohio.gov,,100022339,100022339,,,,,,,Columbus,United States,4509177,,,,,
,,Arms Wide Open Childhood Cancer Foundation*en,active,nonprofit;funder,Arms Wide Open*en,Arms Wide Open Childhood Cancer Foundation*en,AWOCCF,https://www.awoccf.org,,awoccf.org,2009,100016609,100016609,,,,,,,Marlboro,United States,5100894,,,,,
,,"PEACE OUTside Campus, The Lindsey M. Bonistall Foundation*en",active,nonprofit;funder,"PEACE OUTside Campus, Lindsey M. Bonistall Foundation*en;PEACE OUTside Campus*en","PEACE OUTside Campus, The Lindsey M. Bonistall Foundation*en",POC,http://www.peaceoutsidecampus.org,,peaceoutsidecampus.org,2005,100014271,100014271,,,,,,,White Plains,United States,5144336,,,,,
,,Robert McAlpine Foundation*en,active,nonprofit;funder,The Robert McAlpine Foundation*en,Robert McAlpine Foundation*en,,https://www.robertmcalpinefoundation.org,,robertmcalpinefoundation.org,1963,501100009490,501100009490,,,,,,,Kings Langley,United Kingdom,2645460,,,,,
,,Taiwan Foundation for Rare Disorders*en,active,nonprofit;funder,,Taiwan Foundation for Rare Disorders*en;財團法人罕見疾病基金會*zh,TFRD,https://www.tfrd.org.tw/tfrd/,,,1999,501100020433,501100020433,,,,,,,Taipei,Taiwan,1668341,,,,,
,,SCHUHFRIED GmbH (Austria),active,company;funder,Schuhfried*en;The SCHUHFRIED*en,SCHUHFRIED GmbH (Austria);SCHUHFRIED GmbH*en,,https://www.schuhfried.com,,schuhfried.com,1947,501100019234,501100019234,,,,,,,Mödling,Austria,2771335,,,,,
,,Romeo Milio Lynch Syndrome Foundation*en,active,nonprofit;funder,The Romeo Milio Lynch Syndrome Foundation*en;The Romeo Milio Lynch Syndrome Foundation Inc*en,Romeo Milio Lynch Syndrome Foundation*en,RMLSF,https://romeomiliofoundation.org,,romeomiliofoundation.org,2012,100016856,100016856,,,,,,,Armonk,United States,5107346,,,,,
,,South East Regional Health Authority*en,active,healthcare;funder,South-East Regional Health Authority*en,South East Regional Health Authority*en,SERHA,https://www.serha.gov.jm,,serha.gov.jm,1997,501100020560,501100020560,,,,,,,Kingston,Jamaica,3489854,https://ror.org/059v3b755,,,,
,,Hospice Foundation of the Ozarks*en,active,nonprofit;funder,"The Hospice Foundation of the Ozarks*en;Hospice Foundation of the Ozarks Inc*en;Hospice Foundation of the Ozarks, Inc.*en",Hospice Foundation of the Ozarks*en;Hospice Foundation for Outreach*en,HFO,https://hospiceoutreach.org,,hospiceoutreach.org,1997,100027443,100027443,,,,,,,Springfield,United States,4409896,,,,,
,,Roy and Christine Sturgis Charitable Trust*en,active,nonprofit;funder,Roy & Christine Sturgis Charitable Trust*en;Roy & Christine Sturgis Educational Charitable Trust*en;Sturgis Charitable Trust*en,Roy and Christine Sturgis Charitable Trust*en,,https://www.bankofamerica.com/philanthropic/foundation/?fnId=88,,,1981,100011339,100011339,,,,,,,Dallas,United States,4684888,,,,,
,,Oklahoma Water Resources Board*en,active,government;funder,,Oklahoma Water Resources Board*en;오클라호마 수자원 위원회*ko;俄克拉荷马州水资源委员会*zh,OWRB,https://oklahoma.gov/owrb.html,https://en.wikipedia.org/wiki/Oklahoma_Water_Resources_Board,,1957,100024520,100024520,,,,,,,Oklahoma City,United States,,,,,,
,,Zhuzhou Science and Technology Bureau*en,active,government;funder,Zhuzhou Bureau of Science and Technology*en;Zhuzhou City Science and Technology Bureau*en,Zhuzhou Science and Technology Bureau*en;株洲市科学技术局*zh,,http://kjj.zhuzhou.gov.cn,,kjj.zhuzhou.gov.cn,,501100014983,501100014983,,,,,,,Zhuzhou,China,1783763,,,,,
,,American Austrian Foundation*en,active,nonprofit;funder,The American Austrian Foundation*en,American Austrian Foundation*en,AAF,https://americanaustrianfoundation.org,,americanaustrianfoundation.org,1984,100015593,100015593,,,,,,,New York,United States,5128581,,,,,
,,Real Estate Foundation of British Columbia*en,active,nonprofit;funder,Real Estate Foundation of BC*en;Real Estate Foundation*en;The Real Estate Foundation of BC*en,Real Estate Foundation of British Columbia*en,REFBC,https://refbc.ca,,refbc.ca,1985,501100021814,501100021814,,,,,,,Vancouver,Canada,6173331,,,,,
,,The Chatlos Foundation*en,active,nonprofit;funder,"Chatlos Foundation*en;The Chatlos Foundation, Inc.*en;Chatlos Foundation, Inc.*en",The Chatlos Foundation*en,,https://chatlos.org,,chatlos.org,1953,100015206,100015206,,,,,,,Longwood,United States,4162783,,,,,
,,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board*en",active,government;healthcare;funder,"NHS Bristol, North Somerset and South Gloucestershire ICB*en;Bristol, North Somerset and South Gloucestershire Integrated Care Board*en","NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board*en",NHS BNSSG ICB;ICB,https://bnssg.icb.nhs.uk,,bnssg.icb.nhs.uk,2022,100032272,100032272,,,,,,,Bristol,United Kingdom,2654675,,,,,
,,Anneliese Pohl Foundation*en,active,nonprofit;funder,Anneliese Pohl-Stiftung*de,Anneliese Pohl Foundation*en;Anneliese Pohl Stiftung*de,,https://www.anneliese-pohl-stiftung.de,,anneliese-pohl-stiftung.de,2009,501100022718,501100022718,,,,,,,Marburg,Germany,2873759,,,,,
,,Marie og M.B. Richters Fond*da,active,nonprofit;funder,Richter Fonden*da;Marie and MB Richters Fund*en,Marie og M.B. Richters Fond*da,,https://richterfonden.dk,,richterfonden.dk,1937,501100010360,501100010360,,,,,,,Copenhagen,Denmark,,,,,,
,,PacifiCorp (United States),active,company;funder,Pacific Power & Light Company*en,PacifiCorp (United States);PacifiCorp*en,,https://www.pacificorp.com,https://en.wikipedia.org/wiki/PacifiCorp,pacificorp.com,1910,100030928,100030928,,,,,,,Portland,United States,5746545,,,,,
,,General Board of Higher Education and Ministry*en,active,nonprofit;funder,General Board of Higher Education*en;General Board of Higher Education & Ministry*en;The General Board of Higher Education and Ministry*en,General Board of Higher Education and Ministry*en,GBHEM,https://www.gbhem.org,,gbhem.org,1972,100022626,100022626,,,,,,,Nashville,United States,,https://ror.org/05w72d176,,,,
,,Nanjing Changjiang Waterway Engineering Bureau (China),active,company;funder,,Nanjing Changjiang Waterway Engineering Bureau (China);长江南京航道工程局*zh;Nanjing Changjiang Waterway Engineering Bureau*en,NCWEB,https://www.cjhdgcj.com/njhdgcj/,,,1996,501100009603,501100009603,,,,,,,Nanjing,China,,,,,,
,,Bellwether Foundation*en,active,nonprofit;funder,"The Bellwether Foundation*en;The Bellwether Foundation, Inc.*en",Bellwether Foundation*en,,https://www.bellwetherstl.org,,bellwetherstl.org,1985,100025398,100025398,,,,,,,Saint Louis,United States,,,,,,
,,Joint Pathology Center*en,active,government;funder,The Joint Pathology Center*en,Joint Pathology Center*en,JPC,https://www.jpc.capmed.mil,,jpc.capmed.mil,2011,100014033,100014033,,,,,,,Silver Spring,United States,4369596,https://ror.org/03df8gj37,,,,
,,International Women's Fishing Association*en,active,nonprofit;funder,,International Women's Fishing Association*en,IWFA;I.W.F.A.,https://www.iwfa.org,,iwfa.org,1955,100027328,100027328,,,,,,,Palm Beach Gardens,United States,4167519,,,,,
,,Foundation for the Horse*en,active,nonprofit;funder,The Foundation for the Horse*en;AAEP/The Foundation for the Horse*en,Foundation for the Horse*en,,https://www.foundationforthehorse.org,,foundationforthehorse.org,1994,100016031,100016031,,,,,,,Lexington,United States,4297983,https://ror.org/047tmvg79,,,,
,,Tizona Therapeutics (United States),active,company;funder,"Tizona Therapeutics, Inc.*en;Tizona*en",Tizona Therapeutics (United States);Tizona Therapeutics*en,,https://www.tizonatx.com,,tizonatx.com,2015,100014959,100014959,,,,,,,South San Francisco,United States,,,,,,
,,"Hyperfine, Inc. (United States)",active,company;funder,Hyperfine*en,"Hyperfine, Inc. (United States);Hyperfine, Inc.*en",,https://www.hyperfinemri.com,,hyperfinemri.com,2014,100031384,100031384,,,,,,,Guilford,United States,4835512,,,,,
,,California Association of Realtors*en,active,nonprofit;funder,,California Association of Realtors*en,C.A.R.,https://www.car.org,,car.org,1905,100029989,100029989,,,,,,,Sacramento,United States,5389489,,,,,
,,Zhuzhou Municipal People's Government*en,active,government;funder,Zhuzhou Municipal Government*en;Zhuzhou People's Government*en;People's Government of Zhuzhou*en,Zhuzhou Municipal People's Government*en;株洲市人民政府*zh,,http://www.zhuzhou.gov.cn,,zhuzhou.gov.cn,1951,100015799,100015799,,,,,,,Zhuzhou,China,1783763,,,,,
,,Fondation SNCF*fr,active,nonprofit;funder,SNCF Foundation*en;Fondation Groupe SNCF*fr;Fondation d'Entreprise SNCF*fr;La Fondation SNCF*fr,Fondation SNCF*fr;Fondation du Groupe SNCF*fr;SNCF Group Foundation*en,,https://www.groupe-sncf.com/fr/engagements/fondation,,,1995,100015879,100015879,,,,,,,Saint-Denis,France,2980916,https://ror.org/0454vek02,,,,
,,Seychelles Government*en,active,government;funder,Government of Seychelles*en;Government of the Republic of the Seychelles*en,Seychelles Government*en,,https://www.egov.sc,,egov.sc;gov.sc,1976,100030919,100030919,,,,,,,Victoria,Seychelles,241131,,,,,
,,Royal Australian Air Force*en,active,government;funder,,Royal Australian Air Force*en,RAAF,https://airforce.gov.au,,airforce.gov.au,1921,501100015970,501100015970,,,,,,,Canberra,Australia,2172517,,,,,
,,Taisei Foundation*en,active,nonprofit;funder,The Taisei Foundation*en,Taisei Foundation*en;一般財団法人 大成学術財団*ja,,https://www.taisei-foundation.or.jp,,taisei-foundation.or.jp,2017,100018414,100018414,,,,,,,Tokyo,Japan,1850147,https://ror.org/015cafh73,,,,
,,Odd Berg Medical Research Foundation*en,active,nonprofit;funder,Odd Berg Foundation*en,Odd Berg Medical Research Foundation*en;Odd Berg Gruppens Medisinske Forskningsfond*no,,https://www.oddberg.no/medisinsk-forskning/,,,1988,100007432,100007432,,,,,,,Tromsø,Norway,3133895,,,,,
,,Utah Department of Workforce Services*en,active,government;funder,Department of Workforce Services*en,Utah Department of Workforce Services*en;犹他州劳动力服务部*zh,DWS,https://jobs.utah.gov,,jobs.utah.gov,1997,100022378,100022378,,,,,,,Salt Lake City,United States,5780993,,,,,
,,City of Santa Fe*en,active,government;funder,"Ciudad de Santa Fe*es;Santa Fe, New Mexico*en",City of Santa Fe*en,,https://santafenm.gov,,santafenm.gov,1891,100024238,100024238,,,,,,,Santa Fe,United States,,,,,,
,,Kott Gerontology Institute*en,active,nonprofit;funder,Kott Gerontology Scholars Program*en,Kott Gerontology Institute*en,KGSP,https://www.kottinstitute.org,,kottinstitute.org,2004,100026360,100026360,,,,,,,Oak Park,United States,4904381,,,,,
,,SATB2 Gene Foundation*en,active,nonprofit;funder,"SATB2 Gene Foundation, Inc.*en",SATB2 Gene Foundation*en,,https://satb2gene.org,,satb2gene.org,2017,100027932,100027932,,,,,,,Lilburn,United States,4205724,,,,,
,,American Society for Peripheral Nerve*en,active,nonprofit;funder,,American Society for Peripheral Nerve*en,ASPN,https://peripheralnerve.org,,peripheralnerve.org,1990,100013620,100013620,,,,,,,Beverly,United States,4930505,,,,,
,,A Better Chicago*en,active,nonprofit;funder,,A Better Chicago*en,,https://www.abetterchicago.org,,abetterchicago.org,2010,100027207,100027207,,,,,,,Chicago,United States,4887398,,,,,
,,Ontario Hospital Association*en,active,nonprofit;funder,,Ontario Hospital Association*en,OHA,https://www.oha.com,,oha.com,1924,100032109,100032109,,,,,,,Toronto,Canada,6167865,,,,,
,,Kaleidoscope of Hope Ovarian Cancer Foundation*en,active,nonprofit;funder,Kaleidoscope of Hope Foundation Inc*en,Kaleidoscope of Hope Ovarian Cancer Foundation*en,KOH,https://kohnj.org,,kohnj.org,2000,100025792,100025792,,,,,,,Madison,United States,5100748,,,,,
,,Center for Advanced Power Engineering Research*en,active,facility;funder,,Center for Advanced Power Engineering Research*en,CAPER,https://caper-usa.com,,caper-usa.com,2013,100017755,100017755,,,,,,,Charlotte,United States,4460243,,,,,
,,Key Laboratory of Leather Chemistry and Engineering of Ministry of Education*en,active,facility;funder,"Key Laboratory of Leather Chemistry and Engineering (Sichuan University)*en;Key Laboratory of Leather Chemistry and Engineering of Ministry of Education, Sichuan University*en",Key Laboratory of Leather Chemistry and Engineering of Ministry of Education*en;皮革化学与工程教育部重点实验室*zh,,https://nell.scu.edu.cn/lcelab_en/,,,2000,100020766,100020766,,,,,,,Chengdu,China,,https://ror.org/011ashp19,,,,
,,Center for Advanced Research in Drying*en,active,facility;funder,,Center for Advanced Research in Drying*en,CARD,https://www.dryingresearch.org,,dryingresearch.org,2016,100030701,100030701,,,,,,,Worcester,United States,4956184,,,,,
,,Mississippi Department of Agriculture and Commerce*en,active,government;funder,MS Department of Agriculture and Commerce*en;Mississippi Department of Agriculture & Commerce*en,Mississippi Department of Agriculture and Commerce*en,MDAC,https://www.mdac.ms.gov,,mdac.ms.gov,1906,100031379,100031379,,,,,,,Jackson,United States,4431410,,,,,
,,Spanish Association of Orphan and Ultra-Orphan Drug Laboratories*en,active,nonprofit;funder,,Spanish Association of Orphan and Ultra-Orphan Drug Laboratories*en;Asociación Española de Laboratorios de Medicamentos Huérfanos y Ultrahuérfanos*es,AELMHU,https://aelmhu.es,,aelmhu.es,2011,501100014367,501100014367,,,,,,,,Spain,,,,,,
,,Cure RTD Foundation*en,active,nonprofit;funder,The Cure RTD Foundation*en;Cure Riboflavin Transporter Deficiency (RTD) Foundation*en;Cure Riboflavin Transporter Deficiency Foundation*en,Cure RTD Foundation*en,CureRTD,https://curertd.org,,curertd.org,2016,100019974,100019974,,,,,,,Red Oak,United States,4721921,,,,,
,,Idaho Department of Lands*en,active,government;funder,ID Dept. of Lands*en;Department of Lands*en,Idaho Department of Lands*en,IDL,https://www.idl.idaho.gov,,idl.idaho.gov,1919,100024553,100024553,,,,,,,Boise,United States,5586437,,,,,
,,Advanced Science and Technology Institute*en,active,facility;funder,Department of Science and Technology – Advanced Science and Technology Institute*en;DOST Advanced Science and Technology Institute*en;DOST-Advanced Science and Technology Institute*en,Advanced Science and Technology Institute*en,ASTI;DOST-ASTI,https://asti.dost.gov.ph,https://en.wikipedia.org/wiki/Advanced_Science_and_Technology_Institute_(Philippines),asti.dost.gov.ph,1987,100015406,100015406,,,,,,,Quezon City,Philippines,1692192,https://ror.org/05tgxx705,,,,
,,Names Family Foundation*en,active,nonprofit;funder,The Names Family Foundation*en,Names Family Foundation*en,NFF,https://www.namesfoundation.org,,namesfoundation.org,1996,100025581,100025581,,,,,,,Fircrest,United States,5794416,,,,,
,,Michael & Susan Dell Center for Healthy Living*en,active,facility;funder,"Michael and Susan Dell Center for Healthy Living, School of Public Health, University of Texas Health Science Center at Houston*en",Michael & Susan Dell Center for Healthy Living*en,,https://sph.uth.edu/research/centers/dell/,,,2006,100031144,100031144,,,,,,,Austin,United States,4671654,https://ror.org/03gds6c39,,,,
,,Leukemia Research Foundation of Delaware*en,active,nonprofit;funder,The Leukemia Research Foundation of Delaware*en;Leukemia Research Foundation of DE*en,Leukemia Research Foundation of Delaware*en,LRFDE,https://lrfde.com,,lrfde.com,2007,100020258,100020258,,,,,,,Middletown,United States,,,,,,
,,Indonesian Center for Agricultural Biotechnology and Genetic Resource Research and Development*en,active,government;funder,Balai Besar Pengujian Standar Instrumen Bioteknologi dan Sumber Daya Genetik Pertanian*id;Balai Besar Penelitian dan Pengembangan Bioteknologi dan Sumber Daya Genetik Pertanian*id,Indonesian Center for Agricultural Biotechnology and Genetic Resource Research and Development*en;Balai Besar Perakitan dan Modernisasi Bioteknologi dan Sumber Daya Genetik Pertanian*id,BRMP Biogen;BB Biogen;ICABIOGRAD;BBPSI Biogen,https://biogen.brmp.pertanian.go.id,,biogen.brmp.pertanian.go.id,2003,501100013256,501100013256,,,,,,,Bogor,Indonesia,,,,,,
,,Kansas Department of Agriculture*en,active,government;funder,Kansas Dept of Agriculture*en;Kansas State Board of Agriculture*en;Kansas Board of Agriculture*en;Kansas State Agricultural Society*en,Kansas Department of Agriculture*en,KDA,https://www.agriculture.ks.gov,,agriculture.ks.gov,1995,100021174,100021174,,,,,,,Manhattan,United States,4274994,,,,,
,,Perinatal Society of Australia and New Zealand*en,active,nonprofit;funder,Perinatal Society of Australia & New Zealand*en;Perinatal Society of Australia and New Zealand Limited*en,Perinatal Society of Australia and New Zealand*en,PSANZ,https://www.psanz.com.au,,psanz.com.au,1983,100032057,100032057,,,,,,,Mornington,Australia,2156878,,,,,
,,Korean-American Scientists and Engineers Association*en,active,nonprofit;funder,Korean-American Scientists & Engineers Association*en;KOREAN-AMERICAN SCIENTISTS AND ENGINEERS ASSOCIATION INC*en,Korean-American Scientists and Engineers Association*en;재미한인과학기술자협회*ko,KSEA,https://www.ksea.org,,ksea.org,1971,100017987,100017987,,,,,,,Vienna,United States,4791160,,,,,
,,Blue Cross and Blue Shield of Texas (United States),active,company;funder,Blue Cross Blue Shield of Texas*en,Blue Cross and Blue Shield of Texas (United States),BCBSTX,https://www.bcbstx.com,,bcbstx.com,1929,100031464,100031464,,,,,,,Richardson,United States,4722625,https://ror.org/01ngcpv42,,,,
,,France Asso Cancer et Peau*fr,active,nonprofit;funder,Vaincre le Mélanome*fr;L'association Vaincre le mélanome*fr;The association Defeat melanoma*en,France Asso Cancer et Peau*fr;Association Vaincre le Mélanome*fr,FACP,https://franceassocanceretpeau.fr,,franceassocanceretpeau.fr;assocanceretpeau.com,2009,501100012097,501100012097,,,,,,,Maussane-les-Alpilles,France,2994992,,,,,
,,Mortimer B. Zuckerman Mind Brain Behavior Institute*en,active,facility;funder,Zuckerman Institute*en;Columbia's Zuckerman Institute*en,Mortimer B. Zuckerman Mind Brain Behavior Institute*en,,https://zuckermaninstitute.columbia.edu,,zuckermaninstitute.columbia.edu,2012,100024000,100024000,,,,,,,New York,United States,,https://ror.org/00hj8s172,,,,
,,Avast Foundation*en,inactive,nonprofit;funder,Nadační Fond Avast,Avast Foundation*en;Stichting Avast*nl,,https://foundation.avast.com,,foundation.avast.com,2020,501100016116,501100016116,,,,,,,Amersfoort,Netherlands,,,,,,
,,National Children's Alliance*en,active,nonprofit;funder,National Network of Children's Advocacy Centers*en;The National Children's Alliance*en,National Children's Alliance*en,NCA,https://www.nationalchildrensalliance.org,,nationalchildrensalliance.org,1988,100022394,100022394,,,,,,,Washington,United States,4140963,,,,,
,,Nagarjuna College of Engineering and Technology*en,active,education;funder,Nagarjuna College of Engineering & Technology*en,Nagarjuna College of Engineering and Technology*en,NCET,https://ncet.co.in,,ncet.co.in,2001,501100025032,501100025032,,,,,,,Bengaluru,India,1277333,,,,,
,,Partners of the Americas*en,active,nonprofit;funder,Partners*en,Partners of the Americas*en,,https://partners.net,,partners.net,1964,100029439,100029439,,,,,,,"Washington, D.C.",United States,4140963,,,,,
,,Optovue (United States),inactive,company;funder,"Optovue, Inc.*en;Optovue Corporation*en;Optovue, Incorporated*en",Optovue (United States);Optovue*en,,https://www.optovue.com,,optovue.com,2003,100018265,100018265,,,,,,,Fremont,United States,5350734,,,,,
,,Association for Industrial Archaeology*en,active,nonprofit;funder,The Association for Industrial Archaeology*en,Association for Industrial Archaeology*en,AIA,https://industrial-archaeology.org,,industrial-archaeology.org,1973,100014677,100014677,,,,,,,Ironbridge,United Kingdom,2646039,,,,,
,,Organic Valley (United States),active,company;funder,CROPP Cooperative,Organic Valley (United States);Organic Valley*en,OV,https://www.organicvalley.coop,https://en.wikipedia.org/wiki/Organic_Valley,organicvalley.coop,1988,100024418,100024418,,,,,,,La Farge,United States,,,,,,
,,HLS Therapeutics (Canada),active,company;funder,"HLS Therapeutics Inc.*en;HLS Therapeutics, Inc.*en",HLS Therapeutics (Canada);HLS Therapeutics*en,HLS-T,https://hlstherapeutics.com,,hlstherapeutics.com,2015,501100018679,501100018679,,,,,,,Etobicoke,Canada,5950268,,,,,
,,Cowles Foundation for Research in Economics*en,active,facility;funder,,Cowles Foundation for Research in Economics*en,,https://cowles.yale.edu,,cowles.yale.edu,1932,100015128,100015128,,,,,,,New Haven,United States,,https://ror.org/03v76x132,,,,
,,Townsville City Council*en,active,government;funder,City of Townsville*en;TownsvilleCouncil*en,Townsville City Council*en,TCC,https://www.townsville.qld.gov.au,,townsville.qld.gov.au,1866,501100025168,501100025168,,,,,,,Townsville,Australia,2146142,,,,,
,,The Fabrikant Mads Clausen Foundation*en,active,nonprofit;funder,Fabrikant Mads Clausen Foundation*en;Die Fabrikant Mads Clausen Foundation*de,The Fabrikant Mads Clausen Foundation*en;Fabrikant Mads Clausens Fond*da,,https://www.danfoss.com/en/about-danfoss/company/foundations/the-fabrikant-mads-clausen-foundation/,,,1960,100031066,100031066,,,,,,,Sønderborg,Denmark,2613102,,,,,
,,Association of International Education Administrators*en,active,nonprofit;funder,,Association of International Education Administrators*en,AIEA,https://aieaworld.org,,aieaworld.org,1982,100030395,100030395,,,,,,,Washington,United States,4140963,,,,,
,,Australian Linguistic Society*en,active,nonprofit;funder,The Australian Linguistic Society*en,Australian Linguistic Society*en,ALS;AusLingSoc,https://www.als.asn.au,https://en.wikipedia.org/wiki/Australian_Linguistic_Society,als.asn.au,1967,501100022945,501100022945,,,,,,,,Australia,,,,,,
,,Nanovic Institute for European Studies*en,active,education;funder,Nanovic Institute*en,Nanovic Institute for European Studies*en,,https://nanovic.nd.edu,,nanovic.nd.edu,1992,100011511,100011511,,,,,,,Notre Dame,United States,,https://ror.org/00mkhxb43,,,,
,,State of Louisiana*en,active,government;funder,Louisiana*en,State of Louisiana*en;Louisiane*fr;Luisiana*es;Lwizyàn*ht,,https://www.louisiana.gov,,louisiana.gov,1812,100023079,100023079,,,,,,,Baton Rouge,United States,4315588,,,,,
,,Chevron Oronite Company (United States),active,company;funder,Chevron Oronite Company LLC*en;Chevron Oronite*en,Chevron Oronite Company (United States),,https://www.oronite.com,,oronite.com,,100015253,100015253,,,,,,,San Ramon,United States,5392593,https://ror.org/02jfa8730,,,,
,,Pan-American Association of Ophthalmology*en,active,nonprofit;funder,,Pan-American Association of Ophthalmology*en,PAAO,https://paao.org,,paao.org,1939,100011154,100011154,,,,,,,Pantego,United States,,,,,,
,,Bio-Tech Pharmacal (United States),active,company;funder,"Bio-Tech Pharmacal Inc.*en;Bio-Tech Pharmacal, Inc.*en",Bio-Tech Pharmacal (United States);Bio-Tech Pharmacal*en,,https://www.biotechpharmacal.com,,biotechpharmacal.com,1984,100018125,100018125,,,,,,,Fayetteville,United States,4110486,,,,,
,,Romance Writers of America*en,active,nonprofit;funder,"Romance Writers of America, Inc.*en",Romance Writers of America*en,RWA,https://www.rwa.org,,rwa.org,1980,100029623,100029623,,,,,,,Houston,United States,4699066,,,,,
,,U.S. Army Engineer Institute for Water Resources*en,active,government;funder,Institute for Water Resources*en;U.S. Army Corps of Engineers (USACE) Institute for Water Resources (IWR)*en;US Army Corps of Engineers Institute for Water Resources*en,U.S. Army Engineer Institute for Water Resources*en,IWR,https://www.iwr.usace.army.mil,,iwr.usace.army.mil,1969,100017324,100017324,,,,,,,Alexandria,United States,4314550,https://ror.org/05w4e8v21,,,,
,,International Literacy Association*en,active,nonprofit;funder,"International Reading Association, Inc.*en",International Literacy Association*en,ILA,https://www.literacyworldwide.org,,literacyworldwide.org,1956,100009692,100009692,,,,,,,Newark,United States,,,,,,
,,JSS College of Pharmacy*en,active,education;funder,"JSS College of Pharmacy, Mysuru*en",JSS College of Pharmacy*en,,https://jssuni.edu.in/jssaher/college-of-pharmacy-mysuru/cpm-home.html,,,1973,100017387,100017387,,,,,,,Mysuru,India,1262321,,https://ror.org/013x70191,,,
,,Sinyang Cultural Foundation*en,active,nonprofit;funder,신양문화재단*ko;信陽文化財團*zh,Sinyang Cultural Foundation*en;재단법인 신양문화재단*ko,,https://www.sinyang.org,,sinyang.org,1998,501100009554,501100009554,,,,,,,Seoul,South Korea,1835848,,,,,
,,British Society for the History of Philosophy*en,active,nonprofit;funder,The British Society for the History of Philosophy*en,British Society for the History of Philosophy*en,BSHP,https://bshp.org.uk,,bshp.org.uk,1984,100012058,100012058,,,,,,,,United Kingdom,,,,,,
,,Center for Power Optimization of Electro-Thermal Systems*en,active,facility;funder,National Science Foundation's Engineering Research Center for Power Optimization for Electro-Thermal Systems*en;ERC for Power Optimization for Electro-Thermal Systems*en;Engineering Research Center for Power Optimization for Electro-Thermal Systems*en;NSF Engineering Research Center for Power Optimization for Electro-Thermal Systems*en;Power Optimization for Electro-Thermal Systems*en,Center for Power Optimization of Electro-Thermal Systems*en,POETS,https://poets-erc.org,,poets-erc.org,2015,100019394,100019394,,,,,,,Urbana,United States,,,https://ror.org/047426m28,,,
